,rating_num
10659,8.5
4994,7.0
17886,7.5
12100,7.5
19804,5.0
15606,7.5
16597,6.5
5308,6.5
9705,8.5
10702,7.0
4705,6.5
7103,7.5
6066,8.0
13723,10.0
17183,7.5
1013,7.5
9431,7.5
1170,0.0
2821,6.5
4441,7.0
17294,6.0
17218,7.5
4148,3.5
7994,2.0
9685,3.5
487,8.0
884,7.0
1080,7.0
7274,7.0
11482,6.5
14518,7.5
5120,7.5
11714,0.0
14414,6.0
12660,7.5
13268,6.0
16684,7.5
3037,0.0
10640,7.5
9630,6.0
13996,6.5
3792,7.5
7890,10.0
1220,6.5
10261,6.0
1201,3.0
489,7.5
5626,8.5
17670,5.0
16328,6.0
20332,5.0
1594,7.0
16198,6.5
7277,6.5
9664,6.0
9409,8.0
11713,6.5
2148,6.0
1513,9.0
20147,6.0
6585,6.0
8575,10.0
2906,8.5
1641,7.5
20424,5.0
9963,3.5
3763,6.5
16396,6.0
19469,5.0
5479,8.0
7691,9.0
9105,7.5
5371,6.0
8198,7.0
19707,6.0
1321,6.0
10125,7.5
5920,8.0
13748,6.5
8392,10.0
17688,7.5
12360,7.5
2662,8.5
14047,6.0
13232,7.5
6040,9.0
5878,9.0
17189,10.0
12712,6.5
12958,6.0
8420,8.5
14889,8.0
4992,6.5
10849,6.5
9451,6.0
16015,7.5
9901,10.0
7051,8.0
9711,6.5
12219,6.5
11532,6.5
12894,7.5
3032,10.0
2781,8.5
14800,7.5
18450,5.0
6143,9.0
19952,6.0
3462,3.5
7209,6.5
18130,6.0
18672,6.0
1181,8.0
5084,6.5
13132,7.5
10104,8.5
8199,10.0
18331,10.0
18193,6.0
11273,3.5
19454,6.0
6111,8.5
3242,8.5
9132,3.5
4369,8.5
764,2.0
5937,10.0
3019,7.0
1504,3.5
3449,3.0
12996,10.0
11185,9.0
1416,6.5
845,10.0
9845,7.5
13190,10.0
4574,7.5
2581,9.0
10080,9.0
3735,6.5
14376,7.5
15469,6.0
12659,6.5
1791,9.0
10083,5.0
11374,7.5
4118,7.0
17539,10.0
6463,6.5
12275,3.5
15540,7.5
16313,6.0
8385,3.5
18553,3.5
6169,7.5
15950,6.0
3892,8.0
14808,7.5
12684,7.5
14032,6.5
12719,7.5
7583,3.5
12955,7.5
12415,6.5
4706,6.5
15410,7.5
16206,6.5
10602,3.5
4843,10.0
16250,6.5
4332,7.5
16931,9.0
7545,6.5
20238,6.0
16770,6.5
16497,6.0
12518,6.5
16655,6.0
14486,7.5
5464,6.0
19842,6.0
5054,9.0
5009,0.0
7313,10.0
19498,5.0
4933,8.0
4064,7.0
16709,6.0
16320,10.0
5567,8.5
19244,5.0
17317,5.0
8721,3.5
19304,6.5
10926,7.0
8752,9.0
875,9.0
8505,7.5
2004,6.0
14393,6.0
3185,3.5
7539,10.0
16615,6.0
2024,8.5
9907,6.0
12213,6.5
7866,9.0
10028,6.5
3605,7.0
1062,7.5
51,7.5
6043,8.0
2503,7.0
15488,5.0
10529,6.5
17056,6.0
8034,8.5
8854,3.0
4621,7.0
5877,8.0
15790,6.0
3238,5.0
5950,5.0
4521,8.0
7961,9.0
10001,10.0
1585,3.5
17016,5.0
20112,5.0
9752,7.5
702,7.0
19439,5.0
11456,6.5
14922,5.0
6154,8.5
4633,6.5
7891,5.0
15959,5.0
3234,8.5
17626,6.0
6659,6.0
10092,6.5
3296,3.0
13382,6.0
10587,10.0
13315,6.0
10291,10.0
2084,7.0
17500,6.5
9487,10.0
13893,10.0
10211,7.0
12225,6.5
2832,9.0
2361,6.5
14129,7.5
2820,7.5
3028,7.5
